,account_id,customer_id,account_type,branch_id,account_status,opened_date
0,1,74688,Business,150,Active,2017-06-28 00:00:00
1,2,21183,Savings,54,Active,2021-01-26 00:00:00
2,3,93719,Cheque,164,Active,2023-01-13 00:00:00
3,4,6909,Cheque,36,Active,2017-12-30 00:00:00
4,5,45524,Cheque,86,Active,2021-02-21 00:00:00
5,6,4297,Cheque,17,Dormant,2024-12-03 00:00:00
6,7,23006,Cheque,46,Active,2019-04-15 00:00:00
7,8,20093,Credit,235,Active,2015-04-30 00:00:00
8,9,93684,Savings,26,Active,2025-08-24 00:00:00
9,10,71906,Credit,74,Active,2025-01-11 00:00:00
10,11,21626,Savings,134,Active,2015-01-04 00:00:00
11,12,32119,Cheque,34,Active,2019-11-21 00:00:00
12,13,16723,Savings,184,Active,2018-04-22 00:00:00
13,14,38573,Cheque,195,Active,2021-08-30 00:00:00
14,15,14010,Cheque,166,Active,2018-04-01 00:00:00
15,16,8295,Savings,178,Active,2016-04-10 00:00:00
16,17,52416,Cheque,141,Active,2024-05-23 00:00:00
17,18,87682,Cheque,104,Active,2017-05-14 00:00:00
18,19,75852,Savings,42,Active,2020-01-25 00:00:00
19,20,44442,Credit,91,Closed,2025-04-18 00:00:00
20,21,73960,Savings,176,Active,2023-09-27 00:00:00
21,22,44145,Cheque,19,Active,2021-05-23 00:00:00
22,23,95986,Cheque,31,Active,2025-05-30 00:00:00
23,24,77792,Cheque,200,Active,2023-09-21 00:00:00
24,25,86774,Credit,16,Active,2015-06-23 00:00:00
25,26,87117,Cheque,154,Active,2017-12-20 00:00:00
26,27,24614,Credit,214,Closed,2018-03-31 00:00:00
27,28,65284,Savings,29,Active,2015-05-04 00:00:00
28,29,56458,Savings,155,Active,2022-08-09 00:00:00
29,30,28176,Business,124,Active,2017-03-25 00:00:00
30,31,92363,Savings,96,Active,2021-10-31 00:00:00
31,32,73489,Cheque,119,Active,2022-04-02 00:00:00
32,33,45403,Cheque,91,Dormant,2015-06-19 00:00:00
33,34,38899,Savings,194,Dormant,2016-06-13 00:00:00
34,35,65529,Savings,82,Active,2015-12-05 00:00:00
35,36,4546,Cheque,48,Active,2023-11-23 00:00:00
36,37,12336,Cheque,109,Active,2018-07-30 00:00:00
37,38,7240,Credit,234,Active,2021-07-16 00:00:00
38,39,92857,Savings,26,Active,2023-12-15 00:00:00
39,40,53394,Cheque,230,Active,2023-06-26 00:00:00
40,41,21401,Cheque,250,Active,2020-12-30 00:00:00
41,42,19587,Cheque,218,Closed,2024-09-28 00:00:00
42,43,8944,Savings,228,Active,2016-01-12 00:00:00
43,44,52946,Cheque,199,Active,2025-10-01 00:00:00
44,45,35302,Cheque,236,Active,2024-10-30 00:00:00
45,46,86926,Cheque,87,Active,2016-05-11 00:00:00
