,branch_id,branch_name,province,city,branch_type
0,1,Mzansi Branch 001,Western Cape,Cape Town,Suburban
1,2,Mzansi Branch 002,Mpumalanga,Emalahleni,Rural
2,3,Mzansi Branch 003,Limpopo,Polokwane,Urban
3,2,Mzansi Branch 004,Eastern Cape,Gqeberha,Urban
4,5,Mzansi Branch 005,Eastern Cape,East London,Urban
5,6,Mzansi Branch 006,North West,Rustenburg,Suburban
6,7,Mzansi Branch 007,Western Cape,George,Suburban
7,8,Mzansi Branch 008,Nan,Mbombela,Urban
8,9,Mzansi Branch 009,Gauteng,Johannesburg,Urban
9,10,Mzansi Branch 010,Western Cape,George,Suburban
10,11,Mzansi Branch 011,Free State,Bethlehem,Urban
11,12,Mzansi Branch 012,Northern Cape,Kimberley,Suburban
12,13,Mzansi Branch 013,Mpumalanga,Mbombela,Urban
13,14,Mzansi Branch 014,Mpumalanga,Secunda,Urban
14,15,Mzansi Branch 015,Mpumalanga,Secunda,Rural
15,16,Mzansi Branch 016,North West,Mahikeng,Urban
16,17,Mzansi Branch 017,Free State,Welkom,Urban
17,18,Mzansi Branch 018,Gauteng,Pretoria,Urban
18,19,Mzansi Branch 019,North West,Mahikeng,Urban
19,20,Mzansi Branch 020,Free State,Welkom,Urban
20,21,Mzansi Branch 021,Free State,Bloemfontein,Urban
21,22,Mzansi Branch 022,Eastern Cape,Gqeberha,Urban
22,23,Mzansi Branch 023,Gauteng,Johannesburg,Urban
23,24,Mzansi Branch 024,Northern Cape,Kuruman,Suburban
24,25,MZANSI BRANCH 025,North West,Mahikeng,Suburban
25,26,Mzansi Branch 026,Limpopo,Thohoyandou,Urban
26,27,Mzansi Branch 027,Eastern Cape,East London,Urban
27,28,Mzansi Branch 028,North West,Klerksdorp,Urban
28,29,Mzansi Branch 029,Free State,Bloemfontein,Rural
29,30,Mzansi Branch 030,Eastern Cape,Gqeberha,Rural
30,31,Mzansi Branch 031,Free State,Bloemfontein,Urban
31,32,Mzansi  Branch  032,Kwazulu-Natal,Pietermaritzburg,Urban
32,33,Mzansi Branch 033,Western Cape,George,Urban
33,34,Mzansi Branch 034,Free State,Welkom,Urban
34,35,Mzansi Branch 035,North West,Mahikeng,Suburban
35,36,Mzansi Branch 036,Western Cape,Paarl,Urban
36,37,mzansi branch 037,North West,Rustenburg,Urban
37,38,Mzansi Branch 038,North West,Mahikeng,Urban
38,39,Mzansi Branch 039,Kwazulu-Natal,Pietermaritzburg,Urban
39,40,Mzansi Branch 040,Limpopo,Thohoyandou,Urban
40,41,Mzansi Branch 041,Gauteng,Soweto,Suburban
41,42,Mzansi Branch 042,Mpumalanga,Mbombela,Urban
42,43,Mzansi Branch 043,Mpumalanga,Secunda,Rural
43,44,Mzansi Branch 044,Eastern Cape,Gqeberha,Urban
44,45,Mzansi Branch 045,Western Cape,George,Suburban
45,46,Mzansi Branch 046,Northern Cape,Upington,Rural
46,47,Mzansi Branch 047,Free State,Bethlehem,Rural
47,48,Mzansi Branch 048,Northern Cape,Upington,Suburban
48,49,Mzansi Branch 049,Mpumalanga,Mbombela,Suburban
49,50,Mzansi Branch 050,North West,Rustenburg,Suburban
50,51,Mzansi Branch 051,Mpumalanga,Emalahleni,Suburban
51,52,Mzansi Branch 052,Gauteng,Soweto,Urban
52,53,Mzansi Branch 053,Eastern Cape,Gqeberha,Urban
53,54,Mzansi Branch 054,Free State,Bethlehem,Urban
54,55,Mzansi Branch 055,Free State,Welkom,Rural
55,56,Mzansi Branch 056,Western Cape,Cape Town,Urban
56,57,Mzansi Branch 057,Free State,Bloemfontein,Urban
57,58,Mzansi Branch 058,Gauteng,Midrand,Suburban
58,59,Mzansi Branch 059,Mpumalanga,Mbombela,Urban
59,60,Mzansi Branch 060,Mpumalanga,Mbombela,Urban
60,61,Mzansi Branch 061,Northern Cape,Upington,Urban
61,62,Mzansi Branch 062,Mpumalanga,Secunda,Urban
62,63,Mzansi Branch 063,Eastern Cape,Gqeberha,Urban
63,64,Mzansi Branch 064,Northern Cape,Kimberley,Urban
64,65,Mzansi Branch 065,Eastern Cape,Gqeberha,Urban
65,66,Mzansi Branch 066,Kwazulu-Natal,Pietermaritzburg,Urban
66,67,Mzansi Branch 067,Northern Cape,Kuruman,Urban
67,68,Mzansi Branch 068,Eastern Cape,Mthatha,Suburban
