account_id,customer_id,account_type,branch_id,account_status,opened_date
1,74688,Business,150,Active,2017-06-28
2,21183,Savings,54,Active,2021-01-26
3,93719,Cheque,164,Active,2023-01-13
4,6909,cheque,36,active,2017-12-30
5,45524,Cheque,86,Active,2021-02-21
6,4297,Cheque,17,Dormant,2024-03-12
7,23006,Cheque,46,Active,2019-04-15
8,20093,Credit,235,Active,2015-04-30
9,93684,Savings,26,Active,2025-08-24
10,71906,Credit,74,Active,2025-11-01
11,21626,Savings,134,Active,2015-04-01
12,32119,Cheque,34,Active,2019-11-21
13,16723,Savings,184,Active,2018-04-22
14,38573,Cheque,195,Active,2021-08-30
15,14010,Cheque,166,Active,2018-01-04
16,8295,Savings,178,Active,2016-10-04
17,52416,Cheque,141,ACTIVE,2024-05-23
18,87682,Cheque,104,Active,2017-05-14
19,75852,Savings,42,Active,2020-01-25
20,44442,Credit,91,Closed,2025-04-18
21,73960,Savings,176,Active,2023-09-27
22,44145,Cheque,19,Active,2021-05-23
23,95986,Cheque,31,Active,2025-05-30
24,77792,Cheque,200,Active,2023-09-21
25,86774,Credit,16,Active,2015/06/23
26,87117,Cheque,154,Active,2017-12-20
27,24614,Credit,214,Closed,2018-03-31
28,65284,Savings,29,Active,2015-04-05
29,56458,Savings,155,Active,2022-09-08
30,28176,Business,124,Active,25 Mar 2017
31,92363,Savings,96,Active,2021-10-31
32,73489,Cheque,119,Active,02 Apr 2022
33,45403,Cheque,91,Dormant,2015-06-19
34,38899,Savings,194,Dormant,2016-06-13
35,65529,Savings,82,Active,2015-05-12
36,4546,Cheque,48,Active,2023-11-23
37,12336,Cheque,109,Active,2018-07-30
38,7240,Credit,234,Active,2021-07-16
39,92857,Savings,26,Active,2023-12-15
40,53394,Cheque,230,Active,2023/06/26
41,21401,Cheque,250,Active,2020-12-30
42,19587,Cheque,218,Closed,2024-09-28
43,8944,Savings,228,Active,2016-12-01
44,52946,Cheque,199,Active,01 Oct 2025
45,35302,Cheque,236,Active,2024-10-30
46,86926,Cheque,87,Active,2016-11-05
47,7024,Savings,198,Active,2021/04/13
48,38376,Cheque,132,Active,2019-12-17
49,44927,Savings,107,Active,2020-11-03
50,23287,Cheque,138,Active,2025-01-14
51,37877,Cheque,181,Active,2016-07-16
52,36842,Savings,186,Active,2020-09-10
53,37974,Cheque,35,active,2019-03-15
54,83745,Savings,39,Active,2025-12-24
55,65537,Savings,63,Active,2023/03/26
56,13019,Cheque,38,Active,2019-05-29
57,71557,savings,126,Active,2019-03-30
58,78321,Savings,74,ACTIVE,2021-01-10
59,98793,Savings,206,Active,2016-02-14
60,88466,Cheque,114, Active ,2023-12-19
61,47426,Cheque,128,Active,2018-02-27
62,57560,Savings,59,Closed,2021-10-10
63,34678,Savings,5, Active ,2025-05-23
64,18298,Savings,79, Active ,2025-02-18
65,2894, Savings ,23,Active,2020-02-08
66,99881,Savings,247,closed,2024-04-26
67,30540,Cheque,149,Active,2022-10-16
68,62699,Savings,30,Active,2020-01-17
69,21229,Cheque,211,Active,2016-04-30
70,29003,Cheque,70,Active,2020-10-31
71,25079,Savings,40,Closed,2022-05-22
72,11541,Savings,84,Dormant,2024-03-20
73,15602,Cheque,196,Active,2015/11/18
74,63012,Business,229,Active,14 Nov 2015
75,78474,Savings,112,active,2023/10/06
76,31934,Savings,75,Active,2018-06-05
77,51257,Credit,90,Active,2017-12-31
78,9796,Cheque,53,Active,2016-06-04
79,41252,Cheque,195,Active,2023-08-23
80,34665,SAVINGS,7,Active,2024-04-11
81,65690,Business,28,Active,2021-05-20
82,22377,Savings,220,Dormant,2019-08-24
83,97717,Savings,228,Active,2021-12-31
