branch_id,branch_name,province,city,branch_type
1,Mzansi Branch 001,Western Cape,Cape Town,Suburban
2,Mzansi Branch 002,Mpumalanga,Emalahleni,Rural
3,Mzansi Branch 003,Limpopo,Polokwane,Urban
2,Mzansi Branch 004,Eastern Cape,Gqeberha,Urban
5,Mzansi Branch 005,Eastern Cape,East London,Urban
6,Mzansi Branch 006,North West,Rustenburg,Suburban
7,Mzansi Branch 007,Western Cape,GEORGE,Suburban
8,Mzansi Branch 008,,Mbombela,Urban
9,Mzansi Branch 009,Gauteng,Johannesburg,Urban
10,Mzansi Branch 010,Western Cape,George,Suburban
11,Mzansi Branch 011,Free State,Bethlehem,Urban
12,Mzansi Branch 012,Northern Cape,Kimberley,Suburban
13,Mzansi Branch 013,Mpumalanga,Mbombela,Urban
14,Mzansi Branch 014,Mpumalanga,Secunda,Urban
15,Mzansi Branch 015,Mpumalanga,Secunda,Rural
16,Mzansi Branch 016,North West,Mahikeng,Urban
17,Mzansi Branch 017,Free State,Welkom,URBAN
18,Mzansi Branch 018,Gauteng,Pretoria,Urban
19,Mzansi Branch 019,North West,Mahikeng,Urban
20,Mzansi Branch 020,Free State,Welkom,Urban
21,Mzansi Branch 021,Free State,Bloemfontein,Urban
22,Mzansi Branch 022,Eastern Cape,Gqeberha,Urban
23,Mzansi Branch 023,Gauteng,Johannesburg,Urban
24,Mzansi Branch 024,Northern Cape,Kuruman,Suburban
25,MZANSI BRANCH 025,North West,Mahikeng,Suburban
26,Mzansi Branch 026,Limpopo,Thohoyandou,urban
27,Mzansi Branch 027,Eastern Cape, East London ,Urban
28,Mzansi Branch 028,North West,Klerksdorp,Urban
29,Mzansi Branch 029,Free State,Bloemfontein,Rural
30,Mzansi Branch 030,Eastern Cape,Gqeberha,Rural
31,Mzansi Branch 031,Free State,Bloemfontein,Urban
32,Mzansi  Branch  032,Kwazulu-Natal,Pietermaritzburg,Urban
33,Mzansi Branch 033,Western Cape,George,Urban
34,Mzansi Branch 034,Free State,Welkom,Urban
35,Mzansi Branch 035,North West,Mahikeng,Suburban
36,Mzansi Branch 036, Western Cape ,Paarl,Urban
37,mzansi branch 037,North West,Rustenburg,Urban
38,Mzansi Branch 038,North West,Mahikeng,urban
39,Mzansi Branch 039,KwaZulu-Natal,Pietermaritzburg,Urban
40,Mzansi Branch 040,Limpopo,Thohoyandou,Urban
41,Mzansi Branch 041,Gauteng,Soweto,Suburban
42,Mzansi Branch 042,Mpumalanga,Mbombela,Urban
43,Mzansi Branch 043,Mpumalanga,Secunda, Rural 
44,Mzansi Branch 044,Eastern Cape,Gqeberha,Urban
45,Mzansi Branch 045,Western Cape,George,Suburban
46,Mzansi Branch 046,Northern Cape,Upington,Rural
47,Mzansi Branch 047,Free State,Bethlehem,Rural
48,Mzansi Branch 048,Northern Cape,Upington,Suburban
49,Mzansi Branch 049,Mpumalanga,Mbombela,Suburban
50,Mzansi Branch 050,North West,Rustenburg,suburban
51,Mzansi Branch 051,Mpumalanga,Emalahleni,Suburban
52,Mzansi Branch 052,Gauteng,Soweto,Urban
53,Mzansi Branch 053,Eastern Cape,Gqeberha,Urban
54,Mzansi Branch 054,Free State,Bethlehem,Urban
55,Mzansi Branch 055,Free State,Welkom,Rural
56,Mzansi Branch 056, Western Cape ,Cape Town,Urban
57,Mzansi Branch 057,Free State,Bloemfontein,Urban
58,Mzansi Branch 058,Gauteng,Midrand,Suburban
59,Mzansi Branch 059,Mpumalanga,Mbombela, Urban 
60,Mzansi Branch 060,Mpumalanga,Mbombela,Urban
61,Mzansi Branch 061,Northern Cape,Upington,Urban
