merchant_id,merchant_name,merchant_category,province,city,risk_rating
1,merchant 00001,Online Services,Free State,Bethlehem,Low
2,Merchant 00002,Grocery,Mpumalanga,Secunda,Low
3,Merchant 00003,Clothing,Limpopo,Polokwane,Medium
4,Merchant 00004,Grocery,Mpumalanga,Mbombela,Low
5,Merchant 00005,Travel,Free State,Bloemfontein,Medium
6,Merchant 00006,Entertainment,Free State,Bloemfontein,Low
7,Merchant 00007,Fuel,Kwazulu-Natal,Pietermaritzburg,Low
8,merchant 00008,Healthcare,Gauteng,Johannesburg,Low
9,MERCHANT 00009,Entertainment,Eastern Cape,Gqeberha,Low
10,Merchant 00010,Clothing,North West,Klerksdorp,Low
11,Merchant 00011,Clothing,Western Cape,Stellenbosch,Low
12,Merchant 00012,Grocery,Free State,Welkom,Low
13,Merchant 00013,Electronics,Limpopo,Polokwane,Low
14,Merchant 00014,Travel,Eastern Cape,Gqeberha,Medium
15,Merchant 00015,Healthcare,North West,Rustenburg,High
16,Merchant 00016,Healthcare,North West,Mahikeng,Low
17,Merchant 00017,Healthcare,Free State,Bethlehem,High
18,Merchant 00018,Other,Limpopo,Thohoyandou,Low
19,Merchant 00019,Entertainment,Free State,Welkom,Low
20,Merchant 00020,Restaurant,Gauteng,Johannesburg,Low
21,Merchant 00021,Electronics,Mpumalanga,Mbombela,Medium
22,Merchant 00022,Other,Free State,Welkom,Low
23,Merchant 00023,Fuel,North West,Klerksdorp,Low
24,Merchant 00024,Electronics,Mpumalanga,Emalahleni,Low
25,Merchant 00025,Fuel,Mpumalanga,Secunda,Low
26,Merchant 00026,Online Services,Gauteng,Johannesburg,Medium
27,Merchant 00027,Healthcare,Free State,Bethlehem,High
28,Merchant 00028,Clothing,North West,Mahikeng,High
29,Merchant 00029,Healthcare,Limpopo,Polokwane,Low
30,Merchant 00030,Entertainment,Kwazulu-Natal,Durban,Low
31,Merchant 00031,Other,North West,Rustenburg,Medium
32,Merchant 00032,Electronics,Mpumalanga,Mbombela,Low
33,Merchant 00033,Electronics,North West,Rustenburg,Low
34,Merchant 00034,Entertainment,Free State,Bloemfontein,High
35,Merchant 00035,Healthcare,Limpopo,Thohoyandou,Low
36,Merchant 00036,Online Services,Free State,Welkom,Low
37,Merchant 00037,Other,Free State,Bethlehem,Low
38,Merchant 00038,Other,Mpumalanga,Mbombela,Medium
39,Merchant 00039,Travel,Free State,Bloemfontein,Low
40,Merchant 00040,Fuel,Mpumalanga,Emalahleni,Low
41,Merchant 00041,Grocery,Gauteng,Midrand,Low
42,Merchant 00042,Fuel,Kwazulu-Natal,Richards Bay,Low
43,Merchant 00043,Clothing,Eastern Cape,East London,Low
44,Merchant 00044,Healthcare,Eastern Cape,Gqeberha,Low
45,Merchant 00045,Fuel,Gauteng,Pretoria,Low
46,Merchant 00046,Online Services,Gauteng,Pretoria,Low
47,Merchant 00047,Clothing,Mpumalanga,Secunda,Low
48,Merchant 00048,Online Services,North West,Rustenburg,Low
49,Merchant 00049,Electronics,Mpumalanga,Emalahleni,Low
50,merchant 00050,Restaurant,Northern Cape,Upington,Low
51,Merchant 00051,Entertainment,Mpumalanga,Emalahleni,Low
52,Merchant 00052,Travel,Kwazulu-Natal,Durban,Low
53,MERCHANT 00053,Fuel,Kwazulu-Natal,Durban,Low
54,Merchant 00054,Electronics,Limpopo,Thohoyandou,Low
55,Merchant 00055,Restaurant,Gauteng,Midrand,Low
56,Merchant 00056,Travel,Eastern Cape,Gqeberha,Low
57,Merchant 00057,Entertainment,Western Cape,Stellenbosch,Low
58,Merchant 00058,Online Services,Eastern Cape,East London,Critical
59,Merchant 00059,Healthcare,Mpumalanga,Mbombela,Medium
60,Merchant 00060,Electronics,Eastern Cape,Mthatha,Low
61,Merchant 00061,Restaurant,Mpumalanga,Secunda,Medium
62,Merchant 00062,Electronics,Mpumalanga,Mbombela,Medium
63,Merchant 00063,Other,Northern Cape,Upington,Low
64,Merchant 00064,Other,Western Cape,George,Low
65,Merchant 00065,Fuel,Northern Cape,Upington,Low
66,Merchant 00066,Online Services,Western Cape,Paarl,High
67,Merchant 00067,Fuel,Mpumalanga,Mbombela,Low
68,Merchant 00068,Electronics,Eastern Cape,East London,Low
69,Merchant 00069,Travel,Kwazulu-Natal,Pietermaritzburg,High
70,Merchant 00070,Online Services,Mpumalanga,Mbombela,Low
71,Merchant 00071,Online Services,Eastern Cape,Mthatha,Low
72,Merchant 00072,Grocery,Gauteng,Soweto,Low
73,Merchant 00073,Clothing,Northern Cape,Kimberley,Medium
74,Merchant 00074,Travel,Eastern Cape,Mthatha,High
75,Merchant 00075,Fuel,North West,Rustenburg,Low
76,Merchant 00076,Grocery,Kwazulu-Natal,Pietermaritzburg,Low
77,Merchant 00077,Other,Limpopo,Tzaneen,Low
78,Merchant 00078,Fuel,Free State,Bethlehem,Low
79,Merchant 00079,Fuel,Kwazulu-Natal,Richards Bay,Low
80,Merchant 00080,Clothing,Limpopo,Thohoyandou,Medium
81,Merchant 00081,Fuel,North West,Nan,Low
82,Merchant 00082,Online Services,Eastern Cape,Mthatha,Low
83,Merchant 00083,Restaurant,Gauteng,Soweto,Low
84,Merchant 00084,Restaurant,Northern Cape,Kuruman,Medium
85, Merchant 00085 ,Healthcare,North West,Klerksdorp,Medium
86,Merchant 00086,Travel,Free State,Welkom,Low
87,Merchant 00087,Restaurant,Gauteng,Midrand,Low
88,Merchant 00088,Restaurant,North West,Klerksdorp,Medium
89,Merchant 00089,Fuel,Kwazulu-Natal,Durban,Low
90,Merchant 00090,Travel,Northern Cape,Kuruman,Medium
91,Merchant 00091,Entertainment,Northern Cape,Kimberley,Medium
92,Merchant 00092,Electronics,Limpopo,Tzaneen,Low
93,Merchant 00093,Entertainment,North West,Rustenburg,Low
94,Merchant 00094,Restaurant,Free State,Welkom,Low
95,Merchant 00095,Online Services,Northern Cape,Kuruman,Low
96,Merchant 00096,Restaurant,Gauteng,Midrand,Low
97,Merchant 00097,Entertainment,Northern Cape,Kimberley,Medium
98,Merchant 00098,Grocery,Free State,Bethlehem,Low
99,Merchant 00099,Entertainment,Mpumalanga,Emalahleni,Medium
100,Merchant 00100,Electronics,Free State,Bloemfontein,High
101,Merchant  00101,Electronics,Gauteng,Soweto,Medium
102,Merchant 00102,Online Services,Northern Cape,Kuruman,Medium
103,Merchant 00103,Clothing,Western Cape,Stellenbosch,Low
104,Merchant 00104,Fuel,Gauteng,Midrand,Medium
105,Merchant 00105,Clothing,Gauteng,Johannesburg,Low
106,Merchant 00106,Restaurant,Gauteng,Pretoria,Low
107,Merchant 00107,Online Services,Eastern Cape,East London,High Risk
108,Merchant 00108,Grocery,Eastern Cape,Mthatha,Medium
109,Merchant 00109,Entertainment,North West,Rustenburg,Low
110,Merchant 00110,Electronics,Eastern Cape,Gqeberha,Low
111,Merchant 00111,Clothing,Limpopo,Tzaneen,Low
112,Merchant 00112,Grocery,North West,Rustenburg,Low
113,Merchant 00113,Restaurant,Western Cape,Stellenbosch,High
114,Merchant 00114,Electronics,Limpopo,Tzaneen,Low
115,Merchant 00115,Other,Northern Cape,Upington,Low
116,Merchant 00116,Grocery,Gauteng,Soweto,Low
117,Merchant 00117,Other,Northern Cape,Upington,Low
118,merchant 00118,Online Services,Western Cape,George,Low
119,Merchant 00119,Travel,Western Cape,George,Low
120,Merchant 00120,Healthcare,Limpopo,Polokwane,Low
121,Merchant 00121,Travel,Northern Cape,Upington,Low
122,Merchant 00122,Clothing,Eastern Cape,Mthatha,Low
123,Merchant 00123,Entertainment,Western Cape,Stellenbosch,Medium
124,Merchant 00124,Grocery,Free State,Welkom,Low
125,Merchant 00125,Restaurant,Free State,Bethlehem,Low
126,Merchant 00126,Online Services,Western Cape,Paarl,Medium
127,Merchant 00127,Online Services,Northern Cape,Upington,Medium
128,Merchant 00128,Travel,Gauteng,Johannesburg,Low
129,Merchant 00129,Travel,Kwazulu-Natal,Richards Bay,Low
130,Merchant 00130,Grocery,Limpopo,Polokwane,Low
131,Merchant 00131,Grocery,North West,Mahikeng,Low
132,Merchant 00132,Other,Gauteng,Pretoria,High
133,Merchant 00133,Electronics,Free State,Welkom,Low
134,Merchant 00134,Healthcare,Northern Cape,Upington,Low
135,Merchant 00135,Other,Limpopo,Polokwane,Medium
136,Merchant 00136,Grocery,North West,Mahikeng,Medium
137,Merchant 00137,Clothing,Free State,Nan,Low
138,Merchant 00138,Clothing,Mpumalanga,Mbombela,Medium
139,Merchant 00139,Grocery,North West,Mahikeng,Low
140,Merchant 00140,Grocery,Northern Cape,Kimberley,Low
141,Merchant 00141,Clothing,Kwazulu-Natal,Pietermaritzburg,Low
142,Merchant 00142,Fuel,North West,Mahikeng,Low
143,Merchant 00143,Restaurant,Mpumalanga,Secunda,Medium
144,Merchant 00144,Fuel,Limpopo,Thohoyandou,High
145,Merchant 00145,Fuel,Western Cape,Cape Town,Low
146,Merchant 00146,Entertainment,Kwazulu-Natal,Durban,Low
147,Merchant 00147,Travel,Western Cape,Stellenbosch,Medium
148,Merchant 00148,Restaurant,North West,Rustenburg,Medium
149,Merchant 00149,Restaurant,Mpumalanga,Secunda,High
150,Merchant 00150,Electronics,Western Cape,George,Low
151,Merchant 00151,Healthcare,Northern Cape,Kimberley,Low
152,Merchant 00152,Grocery,Limpopo,Polokwane,Low
153,Merchant 00153,Entertainment,Northern Cape,Kuruman,Low
154,Merchant 00154,Other,Gauteng,Soweto,Medium
155,Merchant 00155,Restaurant,Eastern Cape,East London,Low
156,Merchant 00156,Entertainment,Northern Cape,Kuruman,Low
157,Merchant 00157,Healthcare,Kwazulu-Natal,Durban,Low
158,Merchant 00158,Healthcare,Mpumalanga,Emalahleni,High
159,Merchant 00159,Fuel,Limpopo,Tzaneen,Low
160,Merchant 00160,Online Services,Northern Cape,Kimberley,Medium
161,Merchant 00161,Restaurant,Gauteng,Johannesburg,Low
162,Merchant 00162,Clothing,Limpopo,Tzaneen,Low
163,Merchant 00163,Travel,Western Cape,Stellenbosch,Low
164,Merchant 00164,Restaurant,Eastern Cape,Mthatha,High
165,Merchant 00165,Clothing,Kwazulu-Natal,Durban,High
166,Merchant 00166,Electronics,Western Cape,Paarl,Medium
167,Merchant 00167,Grocery,Mpumalanga,Secunda,Low
168,Merchant 00168,Restaurant,Kwazulu-Natal,Richards Bay,Low
169,Merchant 00169,Healthcare,Eastern Cape,Mthatha,Medium
170,Merchant 00170,Grocery,Western Cape,Cape Town,Low
171,Merchant 00171,Entertainment,Eastern Cape,Mthatha,High
172,Merchant 00172,Other,Northern Cape,Kimberley,Medium
173,Merchant 00173,Online Services,North West,Nan,Low
174,Merchant 00174,Grocery,Limpopo,Tzaneen,Low
175,Merchant 00175,Fuel,North West,Rustenburg,Low
176,Merchant 00176,Fuel,North West,Mahikeng,Low
177,Merchant 00177,Fuel,Mpumalanga,Emalahleni,Low
178,Merchant 00178,Entertainment,North West,Klerksdorp,Low
