date,ZAR_USD,ZAR_EUR
2025-01-01,17.6151,18.1683
2025-01-02,17.555,19.4497
2025-01-03,17.497,18.9149
 2025-01-04 ,17.8794,18.6521
2025-01-05,17.8951,19.8447
2025-01-06,17.223,20.0023
2025-01-07,17.8894,20.5729
2025-01-08,19.3284,20.905
2025-01-09,18.3148,18.0008
2025-01-10,19.1255,18.6708
2025-01-11,17.6293,19.0548
2025-01-12,19.1698,19.7592
2025-01-13,17.0613,20.2059
2025-01-14,17.5879,19.2769
2025-01-15,18.2868,18.5885
2025-01-16,18.7013,18.0947
2025/01/17,18.9029,19.242
2025-01-18,17.9053,19.7022
2025-01-19,19.0916,19.7698
2025-01-20,18.6032,20.4216
2025-01-21,18.5447,20.9135
2025-01-22,17.7337,18.0182
2025-01-23,17.6838,19.8092
2025-01-24,17.1564,19.7089
2025-01-25,17.7681,18.2206
2025-01-26,19.3814,20.3167
2025-01-27,17.5712,19.2584
2025-01-28,18.107,18.7419
2025-01-29,18.6277,18.4839
2025-01-30,19.1074,20.8929
2025-01-31,19.0308,19.54
2025-02-01,19.1504,19.1793
2025-02-02,18.6477,19.5263
2025-02-03,19.1779,18.7345
2025-02-04,18.1575,20.9052
2025-02-05,18.8476,20.9688
2025-02-06,19.2449,18.5027
2025-02-07,17.0497,18.4695
2025-02-08,17.4048,19.2752
2025-02-09,17.042,20.5014
2025-02-10,18.2174,20.2272
2025-02-11,19.4349,19.7847
2025-02-12,17.471,20.8743
2025-02-13,19.1624,19.5913
2025-02-14,18.3995,20.9985
2025-02-15,17.1603,20.761
2025-02-16,18.1898,18.0618
2025-02-17,18.4185,19.0017
1 Jan 2026,17.3423,18.2688
2025-02-19,17.6936,18.9625
2025-02-20,17.6654,19.9937
2025-02-21,19.4186,19.1426
2025-02-22,18.3504,18.3072
2025-02-23,18.8264,18.7567
2025-02-24,17.5289,18.2091
2025/02/25,19.2004,19.4748
2026-01-01,18.675,19.5212
2025-02-27,19.0482,20.0621
2025-02-28,19.2387,19.9238
01-03-2025,17.8282,20.3886
2025-03-02,19.2553,20.2611
2025-03-03,18.133,20.4831
2025-03-04,18.9001,19.1113
1 Jan 2026,17.6162,19.6796
2025-03-06,18.421,19.2499
2025-03-07,19.4447,20.2473
2025-03-08,18.7751,18.55
2025-03-09,18.866,19.3723
2025-03-10,17.574,19.3001
2025-03-11,19.4646,19.9905
2025-03-12,18.0154,19.8113
2025-03-13,17.0925,20.0536
2025-03-14,17.9733,20.1547
