,date,ZAR_USD,ZAR_EUR
0,2025-01-01,17.6151,18.1683
1,2025-01-02,17.555,19.4497
2,2025-01-03,17.497,18.9149
3,2025-04-01,17.8794,18.6521
4,2025-01-05,17.8951,19.8447
5,2025-01-06,17.223,20.0023
6,2025-01-07,17.8894,20.5729
7,2025-01-08,19.3284,20.905
8,2025-01-09,18.3148,18.0008
9,2025-01-10,19.1255,18.6708
10,2025-01-11,17.6293,19.0548
11,2025-01-12,19.1698,19.7592
12,2025-01-13,17.0613,20.2059
13,2025-01-14,17.5879,19.2769
14,2025-01-15,18.2868,18.5885
15,2025-01-16,18.7013,18.0947
16,2025-01-17,18.9029,19.242
17,2025-01-18,17.9053,19.7022
18,2025-01-19,19.0916,19.7698
19,2025-01-20,18.6032,20.4216
20,2025-01-21,18.5447,20.9135
21,2025-01-22,17.7337,18.0182
22,2025-01-23,17.6838,19.8092
23,2025-01-24,17.1564,19.7089
24,2025-01-25,17.7681,18.2206
25,2025-01-26,19.3814,20.3167
26,2025-01-27,17.5712,19.2584
27,2025-01-28,18.107,18.7419
28,2025-01-29,18.6277,18.4839
29,2025-01-30,19.1074,20.8929
30,2025-01-31,19.0308,19.54
31,2025-02-01,19.1504,19.1793
32,2025-02-02,18.6477,19.5263
33,2025-02-03,19.1779,18.7345
34,2025-02-04,18.1575,20.9052
35,2025-02-05,18.8476,20.9688
36,2025-02-06,19.2449,18.5027
37,2025-02-07,17.0497,18.4695
38,2025-02-08,17.4048,19.2752
39,2025-02-09,17.042,20.5014
40,2025-02-10,18.2174,20.2272
41,2025-02-11,19.4349,19.7847
42,2025-02-12,17.471,20.8743
43,2025-02-13,19.1624,19.5913
44,2025-02-14,18.3995,20.9985
45,2025-02-15,17.1603,20.761
46,2025-02-16,18.1898,18.0618
47,2025-02-17,18.4185,19.0017
48,2026-01-01,17.3423,18.2688
49,2025-02-19,17.6936,18.9625
50,2025-02-20,17.6654,19.9937
51,2025-02-21,19.4186,19.1426
52,2025-02-22,18.3504,18.3072
53,2025-02-23,18.8264,18.7567
54,2025-02-24,17.5289,18.2091
55,2025-02-25,19.2004,19.4748
56,2026-01-01,18.675,19.5212
57,2025-02-27,19.0482,20.0621
58,2025-02-28,19.2387,19.9238
59,2025-03-01,17.8282,20.3886
60,2025-03-02,19.2553,20.2611
61,2025-03-03,18.133,20.4831
62,2025-03-04,18.9001,19.1113
63,2026-01-01,17.6162,19.6796
64,2025-03-06,18.421,19.2499
65,2025-03-07,19.4447,20.2473
66,2025-03-08,18.7751,18.55
67,2025-03-09,18.866,19.3723
68,2025-03-10,17.574,19.3001
69,2025-03-11,19.4646,19.9905
70,2025-03-12,18.0154,19.8113
71,2025-03-13,17.0925,20.0536
72,2025-03-14,17.9733,20.1547
73,2025-03-15,18.9493,18.4385
74,2025-03-16,17.6739,18.3246
75,2025-03-17,19.4994,19.5602
